,Age,Market Value,Fee,score,sentiment_score,tweet_id,competition_id,season_id,vader_compound_mean,tb_polarity_mean,kw_score_mean,popularity_total,age_group,log_value,sentiment_level
Age,1.0,-0.015623963336956898,-0.13606229634436762,0.02429345752210609,-0.024293457522106075,,-0.0021530531154938235,-0.022708390976932415,,,,,-0.14530659296470438,-0.009172080179999561,
Market Value,-0.015623963336956898,1.0,0.6656408773449366,-0.3651336538797687,0.3651336538797688,,-0.12247996786356714,-0.003493639772415466,,,,,-0.0830273682867073,0.8644124770018944,
Fee,-0.13606229634436762,0.6656408773449366,1.0,-0.1422738264610194,0.14227382646101933,,-0.15011825429680103,-0.02942090316378667,,,,,-0.04807394638726374,0.551678468426413,
score,0.02429345752210609,-0.3651336538797687,-0.1422738264610194,1.0,-1.0000000000000002,,0.02450694674191007,0.012505534803804175,,,,,0.018253716844327483,-0.11053169050414109,
sentiment_score,-0.024293457522106075,0.3651336538797688,0.14227382646101933,-1.0000000000000002,1.0,,-0.024506946741910063,-0.012505534803804173,,,,,-0.018253716844327462,0.11053169050414104,
tweet_id,,,,,,,,,,,,,,,
competition_id,-0.0021530531154938235,-0.12247996786356714,-0.15011825429680103,0.02450694674191007,-0.024506946741910063,,1.0,-0.016562350241088552,,,,,-0.04853630568667655,-0.1344984861245938,
season_id,-0.022708390976932415,-0.003493639772415466,-0.02942090316378667,0.012505534803804175,-0.012505534803804173,,-0.016562350241088552,1.0,,,,,-0.0009192235781191838,0.0036924769412486316,
vader_compound_mean,,,,,,,,,,,,,,,
tb_polarity_mean,,,,,,,,,,,,,,,
kw_score_mean,,,,,,,,,,,,,,,
popularity_total,,,,,,,,,,,,,,,
age_group,-0.14530659296470438,-0.0830273682867073,-0.04807394638726374,0.018253716844327483,-0.018253716844327462,,-0.04853630568667655,-0.0009192235781191838,,,,,1.0,-0.07891077308111281,
log_value,-0.009172080179999561,0.8644124770018944,0.551678468426413,-0.11053169050414109,0.11053169050414104,,-0.1344984861245938,0.0036924769412486316,,,,,-0.07891077308111281,1.0,
sentiment_level,,,,,,,,,,,,,,,
