player_name,injury_type,start_date,end_date,days_absent
Lionel Messi,None,,,0
Kylian Mbappe,Hamstring,2023-11-01,2023-11-18,17
Erling Haaland,Ankle,2023-12-10,2023-12-27,17
Kevin De Bruyne,Hamstring,2023-08-10,2023-10-15,66
Pedri,Muscle,2023-09-15,2023-10-05,20
Gavi,Knee,2023-11-20,2024-02-15,87
Vini Jr,Thigh,2023-11-12,2023-12-05,23
Harry Kane,Back,2023-03-12,2023-03-28,16
Son Heung-min,Calf,2023-04-02,2023-04-18,16
Darwin Nunez,Ankle,2023-10-21,2023-11-10,20
Marco Reus,Groin,2023-02-14,2023-03-02,16
Neymar Jr,ACL,2023-10-15,2024-03-01,138
